REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE,REF_AREA_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,FREQ,OBS_STATUS,INDICATOR_LABEL
XKX,2012,WB_WDI_NY_GDP_MKTP_CD,6.16E+09,Kosovo,USD,US dollars,A,A,GDP (current US$)
KWT,2012,WB_WDI_NY_GDP_MKTP_CD,1.74E+11,Kuwait,USD,US dollars,A,A,GDP (current US$)
KGZ,2012,WB_WDI_NY_GDP_MKTP_CD,6.61E+09,Kyrgyz Republic,USD,US dollars,A,A,GDP (current US$)
LAO,2012,WB_WDI_NY_GDP_MKTP_CD,1.02E+10,Lao PDR,USD,US dollars,A,A,GDP (current US$)
LVA,2012,WB_WDI_NY_GDP_MKTP_CD,2.71E+10,Latvia,USD,US dollars,A,A,GDP (current US$)
SLV,2016,WB_WDI_NY_GDP_MKTP_CD,2.42E+10,El Salvador,USD,US dollars,A,A,GDP (current US$)
GNQ,2016,WB_WDI_NY_GDP_MKTP_CD,1.12E+10,Equatorial Guinea,USD,US dollars,A,A,GDP (current US$)
EST,2016,WB_WDI_NY_GDP_MKTP_CD,2.46E+10,Estonia,USD,US dollars,A,A,GDP (current US$)
SWZ,2016,WB_WDI_NY_GDP_MKTP_CD,3.72E+09,Eswatini,USD,US dollars,A,A,GDP (current US$)
ETH,2016,WB_WDI_NY_GDP_MKTP_CD,6.85E+10,Ethiopia,USD,US dollars,A,A,GDP (current US$)
FRO,2016,WB_WDI_NY_GDP_MKTP_CD,2.81E+09,Faroe Islands,USD,US dollars,A,A,GDP (current US$)
FJI,2016,WB_WDI_NY_GDP_MKTP_CD,4.93E+09,Fiji,USD,US dollars,A,A,GDP (current US$)
FIN,2016,WB_WDI_NY_GDP_MKTP_CD,2.39E+11,Finland,USD,US dollars,A,A,GDP (current US$)
FRA,2016,WB_WDI_NY_GDP_MKTP_CD,2.47E+12,France,USD,US dollars,A,A,GDP (current US$)
PYF,2016,WB_WDI_NY_GDP_MKTP_CD,5.50E+09,French Polynesia,USD,US dollars,A,A,GDP (current US$)
GAB,2016,WB_WDI_NY_GDP_MKTP_CD,1.40E+10,Gabon,USD,US dollars,A,A,GDP (current US$)
TGO,2016,WB_WDI_NY_GDP_MKTP_CD,6.07E+09,Togo,USD,US dollars,A,A,GDP (current US$)
TON,2016,WB_WDI_NY_GDP_MKTP_CD,4.21E+08,Tonga,USD,US dollars,A,A,GDP (current US$)
