REF_AREA,REF_AREA_LABEL,INDICATOR,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE
CSS,Caribbean small states,WB_WDI_NY_GDP_MKTP_KD_ZG,2000,4.691504911,PC_A
CEB,Central Europe and the Baltics,WB_WDI_NY_GDP_MKTP_KD_ZG,2000,3.946049982,PC_A
EAR,Early-demographic dividend,WB_WDI_NY_GDP_MKTP_KD_ZG,2000,4.36773102,PC_A
NLD,Netherlands,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,-0.03023256,PC_A
NZL,New Zealand,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,2.58954199,PC_A
NIC,Nicaragua,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,4.927094134,PC_A
NER,Niger,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,5.315130634,PC_A
NGA,Nigeria,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,6.671335393,PC_A
MKD,North Macedonia,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,2.925257665,PC_A
MNP,Northern Mariana Islands,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,2.680965147,PC_A
NOR,Norway,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,1.01619084,PC_A
OMN,Oman,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,5.227704081,PC_A
PAK,Pakistan,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,4.36686505,PC_A
PLW,Palau,WB_WDI_NY_GDP_MKTP_KD_ZG,2013,-2.55228104,PC_A
CAF,Central African Republic,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,4.750316841,PC_A
TCD,Chad,WB_WDI_NY_GDP_MKTP_KD_ZG,2016,-4.122503327,PC_A
